unit_id,connection_type,technology,tier,rsp,state_or_territory,geography,is_this_service_impaired,is_this_service_underperforming,gateway_mac,All hour trimmed mean download speed,All hour minimum download speed,All hour maximum download speed,Busy hour trimmed mean download speed,Busy hour minimum download speed,Busy hour maximum download speed,All hour trimmed mean upload speed,All hour minimum upload speed,All hour maximum upload speed,Busy hour trimmed mean upload speed,Busy hour minimum upload speed,Busy hour maximum upload speed,All hour trimmed mean latency,All hour minimum latency,All hour maximum latency,Busy hour trimmed mean latency,Busy hour minimum latency,Busy hour maximum latency,Average daily outages
45887673,NBN,Fibre to the Node,50/20 Mbps,iiNet,QLD,Urban,TRUE,FALSE,a4:9xxxxxx,41.59,1.11,42.85,41.78,24.99,42.85,11.28,6.72,12.42,11.22,7.44,12.42,18.43,15.12,65.48,18.39,15.67,26.71,0
96729273,NBN,Fibre to the Node,50/20 Mbps,Telstra,QLD,Urban,FALSE,FALSE,10:0xxxxxx,42.82,28.63,45.08,42.58,28.63,45.07,9.83,7.33,10.08,9.84,9.26,10.07,9.51,7.03,21.93,9.72,7.84,14.79,0
78066365,NBN fixed wireless,Fixed Wireless,Fixed Wireless Plus 100/20,,QLD,Major Rural,FALSE,FALSE,b0:axxxxxx,133.8,79.72,146.71,130.54,82.97,144.27,11.26,3.93,18.96,10.9,4.46,18.77,34.85,31.09,46.56,34.4,31.09,36.18,0.03
100382653,NBN very high speed services,Fibre to the Premises,500-990/50 Mbps,Other RSPs,QLD,Urban,FALSE,FALSE,a0:bxxxxxx,932.62,703.15,935.44,923.63,703.15,935.44,47.56,46.3,47.93,47.58,47.05,47.75,2.14,2.05,2.78,2.16,2.1,2.78,0
124146110,NBN,Fibre to the Premises,100/20 Mbps,Dodo & iPrimus,QLD,Urban,FALSE,FALSE,78:dxxxxxx,104.93,83.41,108.09,103.28,83.41,106.52,18.2,16.63,18.41,18.14,17.2,18.4,25.02,22.51,37.59,25.56,22.56,34.86,0.06
5071809,NBN,Hybrid Fibre Coaxial,50/20 Mbps,TPG,QLD,Urban,FALSE,FALSE,c4:7xxxxxx,52.41,31.17,53.52,51.42,31.17,53.52,18.77,18.05,18.85,18.76,18.55,18.85,9.71,9.34,13.81,9.74,9.46,10.41,0
118993601,NBN,Fibre to the Premises,100/20 Mbps,Other RSPs,QLD,Urban,FALSE,FALSE,08:bxxxxxx,95.24,20.03,97.23,94.68,34.82,96.51,18.74,13.35,18.92,18.7,14.25,18.9,2.72,2.39,78.34,3.74,2.49,51.82,0
41945285,NBN,Fibre to the Premises,100/20 Mbps,Aussie Broadband,QLD,Urban,FALSE,FALSE,18:fxxxxxx,108.25,85.87,109.5,107.93,89.06,109.5,18.96,18.72,19,18.95,18.81,19,4.73,4.56,5.12,4.74,4.62,4.92,0
4991173,NBN very high speed services,Fibre to the Premises,500-990/50 Mbps,Superloop,QLD,Major Rural,FALSE,FALSE,3c:axxxxxx,925.16,825.74,927.13,925.08,913.68,927.13,47.34,46.5,47.46,47.37,47.01,47.44,2.22,2,4.68,2.29,2.04,3.18,0
23486921,NBN,Hybrid Fibre Coaxial,50/20 Mbps,Optus,QLD,Urban,FALSE,FALSE,8c:fxxxxxx,52.78,28.2,54.56,52.87,33.73,54.56,18.53,17.52,18.65,18.5,17.64,18.63,8.19,7.32,9.11,8.19,8.06,8.88,0.06
59419081,NBN,Fibre to the Premises,100/20 Mbps,Launtel,QLD,Urban,FALSE,FALSE,7c:1xxxxxx,105.2,45.35,106.72,104,45.35,106.61,18.16,17.5,18.33,18.17,17.5,18.31,2.14,2.05,4.11,2.18,2.1,2.72,0
38513609,NBN,Fibre to the Curb,50/20 Mbps,Launtel,QLD,Urban,FALSE,FALSE,bc:3xxxxxx,52.49,29.96,52.96,52.19,35.91,52.91,18.22,17.97,18.34,18.2,17.98,18.34,5.37,5.28,8.11,5.4,5.31,8.11,0.26
37992137,NBN very high speed services,Fibre to the Premises,500-990/50 Mbps,Superloop,QLD,Urban,FALSE,FALSE,f8:9xxxxxx,893.36,764.65,913.41,889.8,764.65,913.41,47.09,40.5,47.46,46.85,42.72,47.4,2.46,2.41,3.08,2.48,2.44,3.08,0
48464333,NBN,Fibre to the Premises,100/40 Mbps,Other RSPs,QLD,Urban,FALSE,FALSE,50:exxxxxx,96.12,81.04,96.54,96.19,91.8,96.51,37.7,36.97,37.78,37.69,37.42,37.77,2.53,2.43,2.87,2.56,2.45,2.82,0
56963025,NBN fixed wireless,Fixed Wireless,Fixed Wireless Plus 100/20,,QLD,Remote,FALSE,FALSE,64:dxxxxxx,103.23,77.15,107.08,100.32,77.15,106.8,18.92,11.09,19.42,19.06,17.67,19.42,30.21,26.55,36.06,31.05,29.59,36.06,0.06
45887697,NBN,Fibre to the Node,100/20 Mbps,Aussie Broadband,QLD,Urban,FALSE,FALSE,40:5xxxxxx,108.6,103.41,108.97,108.53,103.44,108.97,18.91,16.61,19.22,18.89,18.02,19.02,22.4,17.12,45.54,22.81,19.83,45.54,0
48464337,NBN,Fibre to the Premises,100/20 Mbps,Aussie Broadband,QLD,Urban,FALSE,FALSE,bc:0xxxxxx,107.02,87.25,109.36,107.7,98.86,108.65,18.81,12.94,19,18.91,18.72,18.99,2.05,1.83,10.11,1.98,1.86,5.6,0
6986449,NBN,Hybrid Fibre Coaxial,250/25 Mbps,Superloop,QLD,Urban,FALSE,FALSE,20:2xxxxxx,270.03,244.88,272.8,268.9,254.59,272.3,23.58,20.83,23.86,23.64,23.28,23.75,7.99,7.73,8.91,8.07,7.86,8.42,0
114330067,NBN very high speed services,Fibre to the Premises,500-990/50 Mbps,Other RSPs,QLD,Urban,FALSE,FALSE,c4:2xxxxxx,922.95,850.76,928.26,920.52,858.5,928.26,46.99,45.18,47.21,46.88,45.18,47.12,7.95,7.82,8.55,7.98,7.85,8.55,0
117784276,NBN,Fibre to the Curb,100/20 Mbps,Telstra,QLD,Major Rural,FALSE,FALSE,d4:3xxxxxx,108.38,92.41,109.49,107.74,92.41,109.49,19.03,18.18,19.36,19,18.18,19.36,7.24,7.15,9.5,7.3,7.2,8.14,0
29843413,NBN,Fibre to the Node,50/20 Mbps,Dodo & iPrimus,QLD,Urban,FALSE,FALSE,c8:1xxxxxx,53.57,45.38,54.16,53.28,45.38,54.16,18.84,18.5,19.14,18.82,18.5,18.91,8.92,7.66,11.4,8.72,7.67,11.4,0
135546073,NBN fixed wireless,Fixed Wireless,Fixed Wireless Superfast 400/40,,QLD,Remote,FALSE,FALSE,14:exxxxxx,207.88,3.01,408.92,190.31,7.39,315.39,7.18,0.68,12.58,5.92,2.04,9.21,47.27,30.86,775.86,78.73,31.86,568.25,0.06
49779417,NBN,Hybrid Fibre Coaxial,50/20 Mbps,Superloop,QLD,Urban,FALSE,FALSE,d4:5xxxxxx,49.62,13.68,50.17,49.1,13.68,50.17,18.04,17.1,18.45,18.04,17.66,18.42,8.35,8.08,14.91,8.42,8.22,10.02,0
